Y
0.4624
-0.24
-0.2242
-0.5741
0.3295
-0.2155
-0.1534
0.2938
-0.1801
0.3139
-0.2072
-0.588
0.2145
-0.1869
-0.1405
-0.1127
0.7635
-0.2176
-0.5483
-0.2165
-0.5388
-0.8916
-0.7081
-0.4481
-0.1563
-0.43
-0.2186
-0.5762
-0.0101
-0.1072
-0.1866
-0.2205
0.3212
-0.2337
-0.1505
0.2991
-0.1787
0.0658
-0.0818
-0.1143
-0.0752
-0.2282
-0.1008
-0.0484
0.0945
-0.1598
-0.3383
-0.2395
-0.2825
0.735
-0.8993
-0.3717
-0.1295
-0.4939
-0.1902
-0.2091
-0.4835
-0.8107
-0.0007
-0.1781
-0.449
-0.1509
-0.9266
0.1974
0.2264
-0.1806
-0.2277
-0.4922
-0.2558
-0.0754
-0.2574
-0.2051
-0.1979
-0.4657
-0.1473
-0.147
-0.1161
1
-0.4297
-0.5174
0.0004
-0.2419
-0.2804
0.0287
-0.6571
-1
-0.0704
0.344
-0.0454
0.9318
-0.0113
-0.2424
0.1311
-0.4673
-0.2163
-0.3008
-0.2158
-0.2219
-0.3553
-0.2833
